Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
1,JANUARY,2023,31,ER WKS,REGION 1,DEPO,167780,5238,162378,,1,JANUARY,2024,31,ER WKS,REGION 1,DEPO,156780,-,162363,,JANUARI,"3,139,793","2,986,956","-152,837",-0.051,,WORKSHOP,"1,089,370","1,917,276","1,911,870",,JANUARI,"3,059,335","2,992,840",-66495,-2.22%,,January,Workshop,162774,156780,3.70%,11
2,FEBRUARY,2023,28,ER WKS,REGION 1,DEPO,146460,5238,146664,,2,JANUARY,2024,31,ER ADM,REGION 1,DEPO,209920,-,176236,,FEBRUARI,"2,846,058","2,794,249","-51,808",-0.019,,ADMINISTRATION,1391680,"2,041,357","2,075,025",,FEBRUARI,"2,709,450","2,799,754","90,304",3.23%,,January,Administrasi,176683,209920,-18.80%,12
3,MARCH,2023,31,ER WKS,REGION 1,DEPO,160530,5238,162378,,3,JANUARY,2024,31,ER LBB,REGION 1,ELEVATED,62985,-,69330,,MARET,"3,208,928","2,986,956","-221,972",-0.074,,LEBAK BULUS,"472,097","821,653","816,140",,MARET,"2,921,512","2,992,840","71,328",2.38%,,January,Lebak Bulus,75848,63985,15.60%,5
4,APRIL,2023,30,ER WKS,REGION 1,DEPO,138840,5238,157140,,4,JANUARY,2024,31,ER FTM,REGION 1,ELEVATED,73026,-,69864,,APRIL,"3,121,347","2,890,603","-230,745",-0.08,,FATMAWATI,"587,190","819,435","822,710",,APRIL,"2,933,795","2,896,297",-37498,-1.29%,,January,Fatmawati ,75698,71352,5.70%,8
5,MAY,2023,31,ER WKS,REGION 1,DEPO,152380,5238,162378,,5,JANUARY,2024,31,ER CPR,REGION 1,ELEVATED,75336,-,76786,,MEI,"3,251,782","2,986,956","-264,826",-0.089,,CIPETE RAYA,"568,535","568,535","904,105",,MEI,"2,946,849","2,992,840","45,991",1.54%,,January,Cipete Raya,82464,75336,8.60%,7
6,JUNE,2023,30,ER WKS,REGION 1,DEPO,152630,5238,157140,,6,JANUARY,2024,31,ER HJN,REGION 2,ELEVATED,67015,-,44224,,JUNI,"2,956,154","2,890,603","-65,552",-0.023,,HAJI NAWI,"306,075","497,914","520,855",,JUNI,"2,754,235","2,890,603","136,367",4.95%,,January,Haji Nawi ,46571,67015,-43.90%,15
7,JULY,2023,31,ER WKS,REGION 1,DEPO,164700,5238,162378,,7,JANUARY,2024,31,ER BLA,REGION 2,ELEVATED,73641,-,43088,,JULI,"2,689,350","2,986,956","297,606",0.1,,BLOK A,"313,882","476,775","507,350",,JULI,"2,719,477","2,986,956","267,479",8.94%,,January,Blok A,43931,73641,-67.60%,16
8,AUGUST,2023,31,ER WKS,REGION 1,DEPO,174650,5238,162378,,8,JANUARY,2024,31,ER BLM,REGION 2,ELEVATED,86120,-,60990,,AGUSTUS ,"2,685,607","2,986,956","301,349",0.101,,BLOK M,"505,624","692,974","717,955",,AGUSTUS ,"2,716,769","2,986,956","270,187",9.95%,,January,Blok M,67629,86120,-27.30%,13
9,SEPTEMBER,2023,30,ER WKS,REGION 1,DEPO,141070,5238,157140,,9,JANUARY,2024,31,ER ASN ,REGION 2,UNDERGROND,98863,-,68904,,SEPTEMBER,"2,503,520","2,890,603","387,083",0.134,,ASEAN,"500,114","781,334","811,395",,SEPTEMBER,"2,698,667","2,890,603","191,936",7.11%,,January,Asean,74124,98863,-33.40%,14
10,OCTOBER,2023,31,ER WKS,REGION 1,DEPO,168750,5238,162378,,10,JANUARY,2024,31,ER SNY,REGION 3,UNDERGROND,255279,-,261240,,OKTOBER,"2,883,665","2,986,956","103,291",0.035,,SENAYAN,"2,023,519","3,081,851","3,075,855",,OKTOBER,"2,784,241","2,986,956","202,715",7.28%,,January,Senayan,294926,255279,13.40%,6
